|    cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	ra|	dec|	sigra|	sigdec|	sigradec|	w1mpro|	w1sigmpro|	w1snr|	w1rchi2|	w2mpro|	w2sigmpro|	w2snr|	w2rchi2|	w3mpro|	w3sigmpro|	w3snr|	w3rchi2|	w4mpro|	w4sigmpro|	w4snr|	w4rchi2|	cc_flags|	ext_flg|	var_flg|	ph_qual|	w1mag|	w1sigm|	w1flg|	w2mag|	w2sigm|	w2flg|	w3mag|	w3sigm|	w3flg|	w4mag|	w4sigm|	w4flg|	w1mag_1|	w1sigm_1|	w1flg_1|	w2mag_1|	w2sigm_1|	w2flg_1|	w3mag_1|	w3sigm_1|	w3flg_1|	w4mag_1|	w4sigm_1|	w4flg_1|	w1mag_2|	w1sigm_2|	w1flg_2|	w2mag_2|	w2sigm_2|	w2flg_2|	w3mag_2|	w3sigm_2|	w3flg_2|	w4mag_2|	w4sigm_2|	w4flg_2|	w1mag_3|	w1sigm_3|	w1flg_3|	w2mag_3|	w2sigm_3|	w2flg_3|	w3mag_3|	w3sigm_3|	w3flg_3|	w4mag_3|	w4sigm_3|	w4flg_3|	w1mag_4|	w1sigm_4|	w1flg_4|	w2mag_4|	w2sigm_4|	w2flg_4|	w3mag_4|	w3sigm_4|	w3flg_4|	w4mag_4|	w4sigm_4|	w4flg_4|	w1mag_5|	w1sigm_5|	w1flg_5|	w2mag_5|	w2sigm_5|	w2flg_5|	w3mag_5|	w3sigm_5|	w3flg_5|	w4mag_5|	w4sigm_5|	w4flg_5|	w1mag_6|	w1sigm_6|	w1flg_6|	w2mag_6|	w2sigm_6|	w2flg_6|	w3mag_6|	w3sigm_6|	w3flg_6|	w4mag_6|	w4sigm_6|	w4flg_6|	w1mag_7|	w1sigm_7|	w1flg_7|	w2mag_7|	w2sigm_7|	w2flg_7|	w3mag_7|	w3sigm_7|	w3flg_7|	w4mag_7|	w4sigm_7|	w4flg_7|	w1mag_8|	w1sigm_8|	w1flg_8|	w2mag_8|	w2sigm_8|	w2flg_8|	w3mag_8|	w3sigm_8|	w3flg_8|	w4mag_8|	w4sigm_8|	w4flg_8|	w1rsemi|	w1ba|	w1pa|	w1gmag|	w1gerr|	w1gflg|	w2rsemi|	w2ba|	w2pa|	w2gmag|	w2gerr|	w2gflg|	w3rsemi|	w3ba|	w3pa|	w3gmag|	w3gerr|	w3gflg|	w4rsemi|	w4ba|	w4pa|	w4gmag|	w4gerr|	w4gflg|
243	0.940923	-89.668843	174.7575	-37.738611	-174.7571695	37.7386096	0.0417	0.0485	-0.0093	8.31	0.022	49.4	5.576	7.309	0.02	55.1	2.951	4.187	0.014	74.9	4.038	1.533	0.011	99.9	0.651	0	5	130	AAAA	8.327	0.005	0	7.337	0.005	0	4.231	0.005	0	1.507	0.006	0	9.006	0.005	0	8.117	0.005	0	5.665	0.006	0	2.582	0.006	0	8.588	0.005	0	7.656	0.005	0	5.056	0.005	0	2.083	0.006	0	8.403	0.005	0	7.467	0.005	0	4.717	0.005	0	1.789	0.006	0	8.296	0.005	0	7.377	0.005	0	4.518	0.005	0	1.635	0.006	1	8.218	0.005	0	7.323	0.005	0	4.397	0.005	0	1.567	0.006	1	8.156	0.005	0	7.283	0.005	0	4.322	0.005	0	1.534	0.006	1	8.106	0.005	0	7.253	0.005	0	4.273	0.005	0	1.521	0.006	1	8.066	0.005	0	7.228	0.005	0	4.239	0.006	0	1.515	0.007	1	52.48	0.94	-80	7.896	0.005	1	52.48	0.94	-80	7.127	0.006	1	52.48	0.94	-80	4.114	0.006	1	54.19	0.95	-80	1.488	0.007	1
244	1.357724	-41.415472	174.9275	31.909167	174.9272061	31.9094495	0.0532	0.0541	-0.0063	10.235	0.024	46	21.16	9.84	0.02	55.7	9.598	6.393	0.015	72.7	4.117	4.007	0.021	51.9	1.971	0	5	1111	AAAA	10.2	0.006	0	9.825	0.006	0	6.42	0.006	0	3.933	0.012	1	10.975	0.006	0	10.674	0.006	0	7.879	0.007	0	5.044	0.013	0	10.461	0.006	0	10.144	0.006	0	7.245	0.006	0	4.509	0.012	1	10.18	0.006	0	9.872	0.006	0	6.874	0.006	0	4.189	0.012	1	9.987	0.006	0	9.7	0.006	0	6.638	0.006	0	4.017	0.014	1	9.839	0.006	0	9.572	0.006	0	6.481	0.006	0	3.938	0.016	1	9.719	0.006	0	9.469	0.006	0	6.37	0.006	0	3.903	0.018	1	9.622	0.006	1	9.387	0.006	1	6.289	0.006	1	3.891	0.022	1	9.545	0.006	1	9.321	0.006	1	6.231	0.006	1	3.885	0.026	1	49.19	0.54	70	9.341	0.006	1	49.19	0.54	70	9.132	0.006	1	49.19	0.54	70	6.107	0.007	1	52.49	0.58	70	3.849	0.015	1
245	0.304493	142.151845	180.79	44.531389	180.7900728	44.5313221	0.05	0.051	-0.0095	8.897	0.023	47.9	5.366	7.939	0.019	56.6	1.937	4.568	0.015	71.6	1.47	2.151	0.018	61.3	0.804	0	5	1100	AAAA	8.873	0.006	0	7.94	0.006	0	4.588	0.008	0	2.132	0.009	1	9.565	0.006	0	8.722	0.006	0	6.019	0.009	0	3.207	0.01	0	9.134	0.006	0	8.259	0.006	0	5.413	0.008	0	2.708	0.009	1	8.937	0.006	0	8.067	0.006	0	5.081	0.008	0	2.412	0.01	1	8.819	0.006	0	7.974	0.006	0	4.891	0.008	0	2.251	0.01	1	8.731	0.006	0	7.916	0.006	0	4.781	0.008	0	2.171	0.012	1	8.657	0.006	0	7.872	0.006	0	4.715	0.008	0	2.12	0.014	1	8.589	0.006	1	7.834	0.006	1	4.672	0.009	1	2.081	0.016	1	8.527	0.006	1	7.8	0.006	1	4.64	0.01	1	2.043	0.018	1	103.14	0.62	-55	7.56	0.006	1	103.14	0.62	-55	7.108	0.007	1	103.14	0.62	-55	3.673	0.011	1	109.22	0.66	-55	1.535	0.014	17
246	0.721613	100.552878	181.595833	52.711111	181.5961586	52.7110744	0.0489	0.0514	-0.0016	8.177	0.021	51.7	27.190001	7.807	0.02	54.8	13.64	3.679	0.014	76.5	7.369	0.536	0.013	86.2	2.543	0	5	1409	AAAA	8.222	0.005	0	7.884	0.006	0	3.744	0.005	0	0.519	0.005	1	8.986	0.005	0	8.729	0.006	0	5.198	0.005	0	1.605	0.006	1	8.483	0.005	0	8.203	0.006	0	4.569	0.005	0	1.095	0.005	1	8.235	0.005	0	7.949	0.005	0	4.215	0.005	0	0.794	0.005	1	8.092	0.005	0	7.811	0.005	0	4.004	0.005	0	0.629	0.006	1	7.999	0.005	0	7.723	0.005	0	3.875	0.005	0	0.55	0.006	1	7.93	0.005	1	7.659	0.006	1	3.793	0.005	1	0.508	0.006	1	7.874	0.005	1	7.609	0.006	1	3.736	0.005	1	0.487	0.006	1	7.824	0.005	1	7.565	0.006	1	3.693	0.005	1	0.475	0.006	1	68.96	0.6	38	7.467	0.005	1	68.96	0.6	38	7.253	0.006	1	68.96	0.6	38	3.466	0.006	1	73.03	0.65	38	0.431	0.006	1
247	0.169277	41.673766	182.374167	43.685278	182.3742099	43.6853129	0.0566	0.0561	0.0038	9.323	0.023	47.9	41.130001	9.166	0.02	54.7	24.09	7.294	0.015	73.5	12.17	5.115	0.03	36.3	5.893	0	5	8110	AAAA	9.322	0.006	0	9.192	0.006	0	7.065	0.007	0	4.679	0.016	0	10.154	0.006	0	10.104	0.006	0	8.641	0.008	0	5.952	0.02	0	9.583	0.006	0	9.511	0.006	0	7.89	0.007	0	5.255	0.016	0	9.251	0.006	0	9.174	0.006	0	7.377	0.006	0	4.817	0.015	0	9.021	0.005	0	8.946	0.006	0	6.993	0.006	0	4.548	0.015	1	8.844	0.005	0	8.773	0.006	0	6.695	0.006	0	4.384	0.016	17	8.703	0.005	0	8.635	0.006	0	6.461	0.006	0	4.285	0.018	17	8.588	0.005	0	8.523	0.006	0	6.278	0.006	0	4.231	0.021	17	8.496	0.005	0	8.433	0.006	0	6.136	0.006	0	4.198	0.024	17	62.23	0.67	-35	8.101	0.006	1	62.23	0.67	-35	8.046	0.006	1	62.23	0.67	-35	5.676	0.007	1	65.88	0.72	-35	4.107	0.024	17
248	0.31196	-35.818665	182.635833	39.405833	182.6357677	39.4059036	0.0452	0.0464	-0.0103	6.898	0.032	34.2	2.823	6.065	0.022	48.8	1.727	3.21	0.01	111.7	3.407	0.754	0.013	86.8	0.6875	0	5	1110	AAAA	7.5	0.005	16	6.364	0.005	16	3.46	0.009	16	0.713	0.006	0	8.254	0.006	16	7.183	0.005	16	4.935	0.013	16	1.783	0.006	0	7.761	0.005	16	6.683	0.005	16	4.285	0.009	16	1.289	0.006	0	7.552	0.005	16	6.477	0.005	16	3.922	0.007	16	1.001	0.006	0	7.444	0.006	16	6.385	0.005	16	3.705	0.007	16	0.853	0.006	0	7.379	0.006	16	6.337	0.005	16	3.581	0.007	16	0.791	0.007	1	7.334	0.006	16	6.306	0.005	16	3.512	0.006	16	0.763	0.007	17	7.299	0.006	16	6.283	0.005	16	3.472	0.006	16	0.753	0.008	17	7.272	0.006	16	6.265	0.005	16	3.448	0.006	16	0.749	0.008	17	88.66	0.6	-47	6.961	0.006	17	88.66	0.6	-47	6.1	0.005	17	88.66	0.6	-47	3.255	0.006	17	93.89	0.65	-47	0.646	0.008	17
249	1.397443	78.01443	183.2625	7.038889	183.2628826	7.0389695	0.0524	0.0537	-0.0129	9.685	0.022	48.3	83.599998	9.475	0.019	56.8	40.23	5.907	0.015	72.9	38.110001	3.711	0.021	50.9	16.32	0	5	7137	AAAA	9.717	0.006	0	9.479	0.006	0	5.947	0.006	0	3.628	0.008	0	10.601	0.006	0	10.432	0.006	0	7.5	0.006	0	4.791	0.009	0	9.978	0.006	0	9.798	0.006	0	6.772	0.006	0	4.204	0.008	0	9.623	0.006	0	9.442	0.006	0	6.327	0.006	0	3.877	0.008	1	9.405	0.006	0	9.226	0.006	0	6.043	0.006	0	3.696	0.009	1	9.265	0.006	0	9.088	0.006	0	5.859	0.006	0	3.601	0.009	1	9.17	0.006	0	8.995	0.006	0	5.739	0.006	0	3.553	0.011	1	9.103	0.006	0	8.93	0.006	0	5.662	0.006	0	3.53	0.012	1	9.054	0.006	0	8.884	0.006	0	5.612	0.006	0	3.519	0.014	1	39.84	0.41	20	9.01	0.006	1	39.84	0.41	20	8.848	0.006	1	39.84	0.41	20	5.604	0.006	1	45.18	0.51	20	3.645	0.01	1
250	0.058947	-178.263925	184.29125	7.191667	184.2912495	7.1916503	0.0287	0.0292	-0.0009	9.57	0.024	45.7	45.279999	9.217	0.02	54.8	18.4	7.087	0.015	72.7	1.871	5.032	0.03	36.1	0.9575	0	5	9110	AAAA	9.564	0.006	0	9.229	0.006	0	7.079	0.007	0	5.021	0.024	1	10.401	0.006	0	10.111	0.006	0	8.523	0.008	0	6.103	0.026	1	9.825	0.006	0	9.548	0.006	0	7.904	0.007	0	5.597	0.024	1	9.496	0.006	0	9.246	0.006	0	7.55	0.007	0	5.304	0.026	17	9.28	0.005	0	9.058	0.006	0	7.338	0.007	0	5.155	0.029	17	9.128	0.005	0	8.927	0.006	0	7.21	0.007	0	5.091	0.034	17	9.015	0.005	1	8.829	0.006	1	7.128	0.008	0	5.063	0.041	17	8.926	0.005	1	8.752	0.006	1	7.073	0.008	1	5.057	0.05	17	8.853	0.005	1	8.69	0.006	1	7.033	0.008	1	5.063	0.06	17	81.31	0.33	50	8.412	0.006	1	81.31	0.33	50	8.304	0.006	1	81.31	0.33	50	6.799	0.012	1	99.32	0.45	50	4.833	0.054	17
251	0.617024	142.220583	17.865	-38.083333	-17.8651334	38.0834688	0.0473	0.0417	-0.0061	8.11	0.023	48.1	1.497	6.908	0.02	54.6	1.443	4.028	0.015	71.5	1.468	1.911	0.012	90.9	0.787	0	5	0	AAAA	8.11	0.005	0	6.922	0.005	0	4.06	0.005	0	1.909	0.006	0	8.764	0.005	0	7.69	0.005	0	5.491	0.005	0	2.983	0.006	0	8.371	0.005	0	7.241	0.005	0	4.885	0.005	0	2.485	0.006	0	8.214	0.005	0	7.066	0.005	0	4.555	0.005	0	2.197	0.006	0	8.137	0.005	0	6.991	0.005	0	4.37	0.005	0	2.049	0.006	0	8.091	0.005	0	6.953	0.005	0	4.267	0.005	0	1.986	0.006	1	8.06	0.005	0	6.929	0.005	0	4.209	0.005	0	1.957	0.006	1	8.036	0.005	0	6.912	0.005	0	4.177	0.005	0	1.947	0.006	1	8.017	0.005	0	6.899	0.005	0	4.157	0.005	0	1.942	0.007	1	35.15	0.47	65	8.019	0.005	0	35.15	0.47	65	6.909	0.005	0	35.15	0.47	65	4.19	0.005	0	38.75	0.54	65	2.087	0.006	1
252	1.298513	93.325253	186.444583	12.662222	186.4449524	12.6622013	0.0468	0.0499	-0.0084	9.116	0.022	49.4	33.27	8.105	0.019	57.8	7.788	4.612	0.015	74.8	6.021	1.509	0.015	71.9	2.311	0	5	1010	AAAA	9.114	0.006	0	8.129	0.006	0	4.674	0.006	0	1.526	0.006	1	9.905	0.006	0	8.943	0.006	0	6.134	0.006	0	2.615	0.006	1	9.375	0.006	0	8.448	0.006	0	5.499	0.006	0	2.102	0.006	1	9.075	0.005	0	8.211	0.005	0	5.13	0.005	0	1.791	0.006	1	8.871	0.005	0	8.073	0.005	0	4.9	0.005	0	1.616	0.006	1	8.715	0.005	0	7.974	0.005	0	4.749	0.005	0	1.528	0.006	1	8.588	0.005	1	7.894	0.005	1	4.646	0.006	1	1.48	0.006	1	8.482	0.005	1	7.826	0.005	1	4.57	0.006	1	1.454	0.007	1	8.39	0.005	1	7.767	0.005	1	4.508	0.006	1	1.439	0.007	1	93.12	0.43	87	7.803	0.005	1	93.12	0.43	87	7.357	0.006	1	93.12	0.43	87	4.158	0.006	1	127.74	0.61	87	1.311	0.009	1
253	0.842063	137.528902	188.9025	-39.909167	-188.9027059	39.9093392	0.0479	0.0475	-0.0086	8.644	0.021	51.5	6.917	7.574	0.02	55.4	1.888	4.401	0.014	77.9	2.312	1.883	0.014	77.2	0.5172	0	4	9910	AAAA	8.672	0.005	0	7.589	0.005	0	4.424	0.005	0	1.859	0.006	0	9.355	0.005	0	8.367	0.005	0	5.855	0.005	0	2.933	0.006	0	8.933	0.005	0	7.908	0.005	0	5.249	0.005	0	2.435	0.006	0	8.746	0.005	0	7.72	0.005	0	4.913	0.005	0	2.141	0.006	0	8.641	0.005	0	7.633	0.005	0	4.718	0.005	0	1.987	0.006	1	8.564	0.005	0	7.581	0.005	0	4.601	0.005	0	1.921	0.006	1	8.5	0.005	0	7.542	0.005	0	4.527	0.005	0	1.889	0.007	1	8.444	0.005	0	7.51	0.005	0	4.476	0.005	0	1.877	0.007	1	8.398	0.005	0	7.483	0.005	0	4.44	0.006	0	1.873	0.008	17	37.85	0.85	60	8.297	0.005	1	37.85	0.85	60	7.425	0.005	1	37.85	0.85	60	4.366	0.006	1	39.38	0.87	60	1.898	0.007	1
254	0.654639	79.921454	190.435417	35.062778	190.4356354	35.0628096	0.0588	0.0586	-0.0101	10.738	0.022	48.6	42.599998	10.505	0.02	55.6	17.309999	7.619	0.017	65.5	16.26	5.478	0.032	34.4	7.4	0	5	5131	AAAA	10.653	0.006	0	10.41	0.007	0	7.301	0.008	0	4.873	0.016	0	11.504	0.006	0	11.331	0.007	0	8.913	0.01	0	6.161	0.021	0	10.914	0.006	0	10.729	0.007	0	8.126	0.008	0	5.449	0.016	0	10.566	0.006	0	10.383	0.006	0	7.6	0.007	0	5.033	0.015	1	10.328	0.006	0	10.15	0.006	0	7.226	0.007	0	4.79	0.015	1	10.152	0.006	0	9.978	0.006	0	6.952	0.007	0	4.647	0.016	1	10.018	0.006	0	9.848	0.006	0	6.751	0.007	0	4.564	0.018	1	9.916	0.006	0	9.749	0.006	0	6.605	0.007	0	4.518	0.021	17	9.837	0.006	0	9.674	0.007	0	6.501	0.007	0	4.491	0.023	17	31.2	0.88	-35	9.746	0.006	1	31.2	0.88	-35	9.588	0.007	1	31.2	0.88	-35	6.388	0.007	1	32.84	0.9	-35	4.687	0.016	1
255	0.211617	-111.221552	193.052083	-13.414722	-193.052027	13.4147435	0.0531	0.0561	-0.0085	10.221	0.023	46.8	12.89	9.724	0.02	54.4	4.309	6.43	0.014	79	1.859	3.655	0.023	48	2.331	0	5	110	AAAA	10.2	0.006	1	9.718	0.006	1	6.425	0.006	1	3.619	0.008	1	10.953	0.006	1	10.545	0.006	1	7.87	0.007	0	4.69	0.009	1	10.461	0.006	1	10.037	0.006	1	7.25	0.006	1	4.195	0.008	1	10.193	0.006	1	9.786	0.006	1	6.894	0.006	1	3.909	0.009	1	10.01	0.006	1	9.633	0.006	1	6.676	0.006	1	3.76	0.009	1	9.874	0.006	1	9.525	0.006	1	6.54	0.006	1	3.697	0.011	1	9.775	0.006	1	9.447	0.006	1	6.455	0.006	1	3.669	0.012	1	9.707	0.006	1	9.392	0.006	1	6.403	0.006	1	3.659	0.014	1	9.659	0.006	1	9.353	0.006	1	6.369	0.007	1	3.657	0.017	1	29.99	0.74	45	9.642	0.006	1	29.99	0.74	45	9.339	0.006	1	29.99	0.74	45	6.361	0.007	1	32.1	0.78	45	3.756	0.01	1
256	1.310072	-49.004947	196.06	-10.339722	-196.0597208	10.3394835	0.0527	0.0528	-0.0106	10.005	0.022	50.1	34.119999	9.654	0.019	56.5	13.86	6.82	0.015	72.1	3.368	3.856	0.022	48.7	1.759	0	5	1111	AAAA	9.976	0.008	0	9.656	0.008	0	6.766	0.018	0	3.741	0.014	1	10.787	0.009	0	10.526	0.009	0	8.245	0.023	0	4.867	0.015	0	10.237	0.008	0	9.975	0.008	0	7.591	0.018	0	4.317	0.014	1	9.919	0.008	0	9.676	0.008	0	7.184	0.016	0	3.967	0.013	1	9.696	0.008	0	9.477	0.008	0	6.896	0.015	0	3.749	0.014	1	9.521	0.008	0	9.325	0.009	0	6.675	0.015	0	3.61	0.016	1	9.376	0.008	0	9.197	0.009	0	6.493	0.015	0	3.513	0.018	1	9.255	0.008	1	9.09	0.009	1	6.337	0.015	1	3.446	0.02	1	9.154	0.009	1	8.999	0.009	1	6.201	0.015	1	3.4	0.023	1	63.11	0.72	2	8.467	0.009	1	63.11	0.72	2	8.36	0.01	1	63.11	0.72	2	5.275	0.012	1	66.17	0.75	2	3.183	0.017	1
257	0.372214	17.574845	196.054583	-5.551667	196.0546147	-5.5515681	0.0518	0.0536	-0.011	9.72	0.023	48	29.370001	9.347	0.02	53.8	10.39	6.321	0.015	71.6	2.059	3.588	0.02	55.2	0.6852	0	5	1000	AAAA	9.728	0.006	0	9.359	0.006	0	6.334	0.006	0	3.549	0.008	1	10.512	0.006	0	10.206	0.006	0	7.774	0.007	0	4.628	0.008	0	9.989	0.006	0	9.678	0.006	0	7.159	0.006	0	4.125	0.008	1	9.704	0.006	0	9.409	0.006	0	6.812	0.006	0	3.822	0.008	1	9.512	0.006	0	9.241	0.006	0	6.602	0.006	0	3.65	0.008	1	9.361	0.006	0	9.114	0.006	0	6.467	0.006	0	3.553	0.009	1	9.233	0.006	0	9.007	0.006	0	6.372	0.006	0	3.488	0.01	1	9.119	0.006	1	8.912	0.006	1	6.296	0.006	1	3.44	0.011	1	9.017	0.006	1	8.824	0.006	1	6.228	0.007	1	3.4	0.012	1	82.63	0.55	17	8.201	0.006	1	82.63	0.55	17	8.097	0.006	1	82.63	0.55	17	5.492	0.008	1	88.16	0.59	17	3.218	0.014	1
258	0.032244	45.897869	197.273333	11.634167	197.2733399	11.6341729	0.0543	0.0552	-0.0054	10.464	0.023	48.1	25.57	9.496	0.02	55.3	4.918	6.855	0.014	74.9	2.058	4.625	0.026	41.4	0.924	0	5	1000	AAAA	10.475	0.006	0	9.53	0.006	0	6.847	0.006	0	4.582	0.014	1	11.255	0.006	0	10.342	0.006	0	8.285	0.007	0	5.66	0.015	1	10.736	0.006	0	9.849	0.006	0	7.672	0.006	0	5.158	0.014	1	10.463	0.006	0	9.625	0.006	0	7.328	0.006	0	4.862	0.014	1	10.296	0.006	1	9.507	0.006	1	7.124	0.006	1	4.703	0.016	1	10.181	0.006	1	9.432	0.006	1	6.999	0.006	1	4.629	0.019	1	10.096	0.006	1	9.378	0.006	1	6.921	0.007	1	4.594	0.022	1	10.029	0.006	1	9.336	0.006	1	6.87	0.007	1	4.58	0.026	1	9.979	0.006	1	9.304	0.006	1	6.836	0.007	1	4.575	0.031	1	26.45	0.61	15	10.06	0.006	1	26.45	0.61	15	9.358	0.006	1	26.45	0.61	15	6.896	0.007	1	30.01	0.7	15	4.773	0.015	1
259	0.127884	-88.691646	198.364583	36.593889	198.3645391	36.5938897	0.0497	0.0527	-0.0101	8.511	0.021	51.1	74.519997	8.341	0.019	56	48.419998	5.319	0.013	83.6	74.889999	2.868	0.023	47.3	53.040001	0	5	9699	AAAA	8.513	0.006	0	8.393	0.006	0	5.32	0.01	0	2.801	0.014	0	9.408	0.006	0	9.37	0.006	0	6.946	0.013	0	4.101	0.017	0	8.774	0.006	0	8.712	0.006	0	6.145	0.01	0	3.377	0.014	0	8.403	0.006	0	8.325	0.006	0	5.619	0.008	0	2.932	0.013	0	8.155	0.006	0	8.067	0.006	0	5.241	0.008	0	2.64	0.013	0	7.976	0.006	0	7.882	0.006	0	4.962	0.008	0	2.445	0.013	1	7.84	0.006	0	7.741	0.006	0	4.748	0.007	0	2.317	0.014	1	7.732	0.006	0	7.629	0.006	0	4.58	0.007	0	2.234	0.016	1	7.642	0.006	0	7.536	0.006	0	4.445	0.008	0	2.182	0.018	1	107.62	0.58	-5	6.965	0.007	1	107.62	0.58	-5	6.852	0.007	1	107.62	0.58	-5	3.558	0.008	1	114.83	0.63	-5	1.768	0.015	1
260	0.319362	-43.950839	200.248333	8.978333	200.248271	8.9783972	0.0514	0.0534	-0.0139	10.468	0.022	49.9	39.02	9.914	0.02	54.5	12.23	6.238	0.014	79.1	20.719999	4.289	0.022	48.7	2.331	0	5	1110	AAAA	10.488	0.006	0	9.952	0.006	0	6.32	0.006	0	4.213	0.01	1	11.281	0.006	0	10.805	0.006	0	7.806	0.006	0	5.307	0.011	1	10.749	0.006	0	10.271	0.006	0	7.145	0.006	0	4.789	0.01	1	10.491	0.006	0	10.02	0.006	0	6.775	0.006	0	4.498	0.01	17	10.355	0.006	0	9.895	0.006	0	6.564	0.006	0	4.342	0.011	17	10.274	0.006	0	9.825	0.006	0	6.443	0.006	0	4.262	0.013	17	10.221	0.006	1	9.781	0.006	1	6.375	0.006	1	4.211	0.014	17	10.183	0.006	1	9.749	0.006	1	6.336	0.006	1	4.173	0.017	17	10.155	0.006	1	9.726	0.006	1	6.313	0.006	1	4.148	0.019	17	22.26	0.59	30	10.262	0.006	0	22.26	0.59	30	9.819	0.006	0	22.26	0.59	30	6.448	0.006	0	26.51	0.69	30	4.515	0.01	17
261	1.32129	-81.688323	21.112083	33.799444	21.1116463	33.7994975	0.0514	0.0503	0.0051	10.045	0.022	49	46.02	9.691	0.019	57.8	20.209999	6.257	0.013	82.5	30.34	3.981	0.022	48.6	4.669	0	5	9931	AAAA	10.028	0.006	0	9.665	0.006	0	6.291	0.006	0	3.905	0.008	1	10.848	0.006	0	10.547	0.006	0	7.809	0.006	0	5.021	0.008	0	10.289	0.006	0	9.984	0.006	0	7.116	0.006	0	4.481	0.008	1	9.996	0.006	0	9.697	0.006	0	6.712	0.006	0	4.187	0.008	1	9.835	0.005	0	9.542	0.006	0	6.471	0.006	0	4.033	0.009	1	9.745	0.005	0	9.456	0.006	0	6.33	0.006	0	3.962	0.01	1	9.694	0.006	0	9.407	0.006	0	6.248	0.006	0	3.93	0.011	1	9.663	0.006	0	9.377	0.006	0	6.202	0.006	0	3.915	0.013	1	9.643	0.006	1	9.358	0.006	1	6.176	0.006	1	3.909	0.015	1	22.66	0.63	70	9.705	0.005	0	22.66	0.63	70	9.423	0.006	0	22.66	0.63	70	6.289	0.006	0	26.99	0.74	70	4.155	0.008	1
262	0.919646	71.912611	203.950833	2.998889	203.9510765	2.9989682	0.0544	0.054	-0.0117	10.64	0.023	48.2	28.860001	10.079	0.019	56.2	9.41	7.128	0.015	72.6	6.006	4.912	0.024	45.3	1.101	0	5	1100	AAAA	10.577	0.006	0	10.053	0.006	0	7.093	0.007	0	4.845	0.016	1	11.377	0.006	0	10.899	0.006	0	8.562	0.007	0	5.924	0.017	1	10.838	0.006	0	10.372	0.006	0	7.918	0.007	0	5.421	0.016	1	10.547	0.006	0	10.108	0.006	0	7.556	0.007	0	5.134	0.017	1	10.365	0.006	0	9.954	0.006	0	7.349	0.007	0	4.986	0.019	1	10.238	0.006	0	9.85	0.006	0	7.229	0.007	0	4.923	0.022	1	10.142	0.006	1	9.773	0.006	1	7.158	0.007	1	4.901	0.027	1	10.068	0.006	1	9.712	0.006	1	7.117	0.007	1	4.902	0.033	1	10.01	0.006	1	9.663	0.006	1	7.09	0.008	1	4.906	0.039	1	21.14	0.69	-45	10.193	0.006	1	21.14	0.69	-45	9.817	0.006	1	21.14	0.69	-45	7.209	0.007	1	24.42	0.77	-45	5.164	0.017	1
263	1.817878	-68.703586	204.566667	4.5425	204.5661947	4.5426834	0.0529	0.0527	-0.0103	9.187	0.022	48.6	5.944	8.378	0.02	55.4	2.665	6.354	0.014	76.6	1.368	4.465	0.023	48.1	0.9644	0	5	9994	AAAA	9.199	0.005	0	8.39	0.005	0	6.352	0.006	0	4.444	0.011	1	9.882	0.006	0	9.17	0.006	0	7.779	0.006	0	5.512	0.011	1	9.46	0.005	0	8.709	0.005	0	7.177	0.006	0	5.02	0.011	1	9.278	0.005	0	8.519	0.005	0	6.849	0.006	0	4.735	0.011	1	9.181	0.005	0	8.432	0.005	0	6.665	0.006	0	4.586	0.012	1	9.119	0.005	0	8.382	0.005	0	6.562	0.006	0	4.515	0.014	1	9.075	0.006	1	8.35	0.005	1	6.504	0.006	1	4.476	0.016	1	9.041	0.006	1	8.326	0.006	1	6.47	0.006	1	4.453	0.019	1	9.014	0.006	1	8.307	0.006	1	6.45	0.006	1	4.436	0.022	1	39.86	0.51	15	8.98	0.006	1	39.86	0.51	15	8.287	0.006	1	39.86	0.51	15	6.438	0.006	1	42.52	0.56	15	4.548	0.014	1
264	0.623498	-42.761987	20.976667	-35.065556	-20.976523	35.0654284	0.053	0.052	-0.0089	9.379	0.023	46.4	2.841	8.547	0.019	57	1.779	5.888	0.014	75.8	2.03	3.585	0.021	51.5	0.797	0	5	1100	AAAA	9.413	0.006	0	8.56	0.006	0	5.903	0.006	0	3.574	0.007	0	10.072	0.006	0	9.332	0.006	0	7.332	0.006	0	4.645	0.008	0	9.674	0.006	0	8.879	0.006	0	6.728	0.006	0	4.15	0.007	0	9.518	0.006	0	8.701	0.005	0	6.4	0.006	0	3.865	0.008	1	9.446	0.006	0	8.626	0.005	0	6.216	0.006	0	3.719	0.008	1	9.405	0.006	0	8.587	0.006	0	6.113	0.006	0	3.656	0.009	1	9.376	0.006	0	8.563	0.006	0	6.055	0.006	0	3.626	0.01	1	9.351	0.006	0	8.545	0.006	0	6.022	0.006	0	3.614	0.012	1	9.33	0.006	0	8.529	0.006	0	6.002	0.006	0	3.608	0.014	1	14.67	0.85	-80	9.45	0.006	0	14.67	0.85	-80	8.63	0.005	0	14.67	0.85	-80	6.228	0.006	0	18.29	0.92	-80	4.087	0.007	1
