Name,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PSW_flag,PMW,PMW_err,PMW_flag,PLW,PLW_err,PLW_flag
MCG-02-14-009,0.342954623,0.033224569,0.813186212,0.060229199,0,0.76285926,U,0,0.809384045,U,0,0.382408,U
MCG-03-04-072,0.115296719,0.008991682,0.225427733,0.017407308,0.192024342,0.021571781,A,0.110159131,0.011442413,A,0,0.0690584,U
MCG-03-34-064,5.098933136,0.257041995,3.444156642,0.197505545,0.985940296,0.05460017,A,0.383631208,0.02292629,A,0.123719351,0.011001053,A
MCG-05-23-016,1.454143174,0.074134868,0.477012325,0.03050735,0.127662885,0.009259433,A,0.049670551,0.006823226,A,0,0.098217158,U
MCG-06-30-015,1.204880083,0.063410185,0.762027881,0.067837685,0.233491783,0.014273651,A,0.085789691,0.007538946,A,0,0.091748071,U
MCG-07-03-007,0.312850317,0.017297871,0.457087342,0.028749446,0.206467622,0.013131271,A,0.093985731,0.00863999,A,0,0.092549143,U
MCG+00-09-042,3.792976518,0.192239974,4.155356195,0.241463939,1.308061835,0.106339157,A,0.442099725,0.046277403,A,0,0.155719197,U
MCG+01-57-016,0.935511211,0.050901838,0.966184388,0.107610964,0.54385661,0.050386659,A,0.212059645,0.035385732,A,0,0.087825565,U
MCG+02-21-013,0.713184129,0.046419526,1.70093992,0.103471618,0.8991266,0.06563466,A,0.4086945,0.05129696,A,0,0.18991025,U
MCG+02-57-002,0.539221604,0.027366138,0.666847553,0.081146823,0.264710127,0.016087829,A,0.16555793,0.011742206,A,0.070865865,0.009359402,A
MCG+04-22-042,0.13101859,0.012015165,0.399,0.027010484,0.422704789,0.073656875,A,0.211064139,0.041961701,A,0.09570349,0.01685079,A
MCG+04-48-002,9.698,0.485765591,10.445,0.52395848,4.233856,0.3298131,AC,1.644424,0.1937135,AC,0.5019885,0.08819316,AC
MCG+05-03-013,0.825125235,0.045674729,1.889839116,0.165625183,1.135062176,0.086328394,A,0.511802567,0.052598133,A,0.15798518,0.030293163,A
MCG+05-28-032,0.875578763,0.049042089,1.380758942,0.120503708,0.500002949,0.028257932,Ad,0.213522147,0.013163521,AD,0.086405255,0.009076393,AD
MCG+06-16-028,2.548648641,0.128469873,2.48741775,0.154869041,0.8443631,0.060557,A,0.3298639,0.02697544,A,0.1077392,0.01386382,A
MCG+06-24-008,0.751518657,0.051344516,1.85048333,0.103566486,0.649559261,0.036305055,A,0.282648531,0.017036922,A,0.088332077,0.010962212,A
MCG+06-49-019,0.141768449,0.012899479,0.517,0.039118199,0.522634142,0.069654583,A,0.240749173,0.037769372,A,0,0.07648655,U
MCG+08-11-011,2.639,0.142161712,3.467,0.178049181,2.531299,0.2696576,A,1.171501,0.1339057,Ad,0.4089299,0.06717642,Ad
MCG+11-11-032,0.112673077,0.007877901,0.316852188,0.019979939,0.258066143,0.037835277,A,0.134096061,0.02267933,A,0,0.055005744,U
MCG+12-10-067,0.869,0.046492538,1.908,0.098900076,1.242007,0.09705402,A,0.5266293,0.07042443,A,0.2059006,0.03988115,A
Mrk10,0.713,0.039857436,1.973,0.101091941,1.418499385,0.116507308,A,0.736126958,0.071047737,A,0.306355419,0.037363004,A
Mrk1018,0.068410402,0.011639073,0.115368952,0.015412226,0.189634239,0.02921582,A,0.122140213,0.02437344,A,0,0.07991387,U
Mrk1210,1.509660144,0.078391348,0.913928362,0.089092804,0.362292458,0.031878124,A,0.14859857,0.02179967,A,0,0.076693615,U
Mrk1310,0.136626999,0.010589772,0.268198697,0.025586912,0.153846091,0.016275152,A,0.070191562,0.013792275,A,0,0.081840933,U
Mrk1392,0.363753186,0.025533872,0.936397111,0.062955101,0.552326743,0.055473659,A,0.241185707,0.035588021,A,0,0.08258669,U
Mrk18,2.56471364,0.133031793,2.408955595,0.169669813,0.75385716,0.041932708,A,0.321635188,0.018961713,A,0.129037529,0.011778213,A
Mrk198,0.845719464,0.04970657,1.024738724,0.065337209,0.342434977,0.019734068,A,0.152463671,0.010398819,A,0.064292542,0.010103536,A
Mrk202,0.196925715,0.011998537,0.295399819,0.023715005,0.123468519,0.021410374,A,0,0.14118724,U,0,0.098403123,U
Mrk279,0.852334274,0.044452531,0.822451073,0.072782255,0.341874022,0.019849446,Ad,0.131522447,0.009547607,Ad,0,0.098084939,UD
Mrk290,0.178191275,0.009529293,0.115582294,0.008355852,0.049463767,0.006728438,A,0,0.084460195,U,0,0.069263182,U
