SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J0123.8-3504	20.974	-35.067	2.72 +or- 0.18	14.7	NGC 526A	Sy1.5	0.02	1.71^+0.14_-0.14	22.3	-1
J0333.7-3608	53.433	-36.141	3.12 +or- 0.17	18.9	NGC 1365	Sy1.8	0.01	2.02^+0.25_-0.24	23.6	-1
J0232.0-3639	38.02	-36.662	1.09 +or- 0.17	6.4	IC 1816	Sy2	0.02	2.03^+0.38_-0.34	23.9	-2
J1139.0-3744	174.764	-37.741	10.07 +or- 0.27	37.9	NGC 3783	Sy1	0.01	1.94^+0.01_-0.01	22.5	-1
J0111.4-3805	17.867	-38.086	1.52 +or- 0.18	8.3	NGC 424	Sy2	0.01	1.94^+0.28_-0.27	24.3	-4
J1235.6-3955	188.902	-39.919	10.21 +or- 0.26	39.4	NGC 4507	Sy2	0.01	1.98^+0.19_-0.14	23.5	-1
J0138.6-4000	24.674	-40.008	3.17 +or- 0.18	18	ESO 297-018	Sy2	0.03	1.71^+0.11_-0.11	23.8	-7
J1306.7-4024	196.698	-40.415	2.37 +or- 0.27	8.9	ESO 323-077	Sy1.2	0.02	2.03^+0.27_-0.25	22.7	-2
J0357.0-4039	59.268	-40.666	0.89 +or- 0.17	5.4	2MASX J03565655-4041453	Sy1.9	0.07	1.56^+0.35_-0.34	22.5	-1
J0239.0-4043	39.767	-40.732	0.97 +or- 0.17	5.8	2MASX J02384897-4038377	Sy1	0.06	2.12^+0.61_-0.52	20	-2
J2318.4-4221	349.614	-42.36	4.09 +or- 0.20	20.7	NGC 7582	Sy2	0.01	1.95^+0.22_-0.24	24.1	-4
J1325.4-4301	201.366	-43.017	49.77 +or- 0.26	187.6	Cen A	Sy2	0.002	1.85^+0.00_-0.00	22.7	-1
J0640.7-4324	100.2	-43.4	0.92 +or- 0.18	5.2	2MASX J06400609-4327591	Sy2	0.06	2.06^+0.44_-0.39	23.4	-2
